iter	Passed	Remaining
419	2314	3196
420	2318	3188
421	2324	3183
422	2328	3176
423	2332	3168
424	2336	3160
425	2341	3154
426	2346	3148
427	2350	3140
428	2355	3134
429	2359	3127
430	2362	3119
431	2366	3111
432	2371	3105
433	2375	3097
434	2379	3089
435	2383	3082
436	2388	3077
437	2392	3069
438	2396	3062
439	2399	3054
440	2405	3049
441	2409	3041
442	2412	3033
443	2417	3026
444	2421	3019
445	2425	3013
446	2429	3005
447	2434	2999
448	2438	2992
449	2442	2984
450	2445	2977
451	2452	2972
452	2455	2965
453	2459	2957
454	2463	2950
455	2468	2944
456	2472	2937
457	2475	2929
458	2479	2922
459	2484	2916
460	2488	2909
461	2492	2902
462	2496	2895
463	2500	2888
464	2503	2880
465	2507	2873
466	2511	2866
467	2515	2859
468	2519	2852
469	2522	2844
470	2526	2837
471	2534	2835
472	2538	2828
473	2541	2820
474	2549	2818
475	2553	2810
476	2556	2803
477	2561	2797
478	2567	2792
479	2571	2785
480	2575	2779
481	2582	2775
482	2586	2768
483	2589	2761
484	2597	2758
485	2602	2751
486	2605	2745
487	2613	2741
488	2617	2734
489	2620	2727
490	2627	2724
491	2631	2717
492	2636	2711
493	2643	2708
494	2647	2701
495	2651	2694
496	2655	2687
497	2661	2682
498	2665	2675
499	2668	2668
500	2676	2665
501	2680	2659
502	2684	2652
503	2692	2649
504	2696	2643
505	2700	2636
506	2705	2630
507	2710	2625
508	2714	2618
509	2718	2611
510	2726	2609
511	2731	2603
512	2737	2598
513	2743	2594
514	2747	2587
515	2755	2584
516	2760	2578
517	2763	2571
518	2772	2569
519	2776	2563
520	2780	2556
521	2789	2553
522	2793	2547
523	2796	2540
524	2803	2536
525	2807	2530
526	2811	2523
527	2817	2518
528	2824	2514
529	2828	2508
530	2834	2503
531	2838	2497
532	2842	2490
533	2845	2483
534	2853	2480
535	2857	2473
536	2861	2466
537	2869	2464
538	2873	2457
539	2876	2450
540	2884	2446
541	2888	2440
542	2891	2433
543	2899	2430
544	2904	2424
545	2910	2420
546	2918	2417
547	2923	2411
548	2933	2410
549	2937	2403
550	2945	2400
551	2954	2397
552	2957	2390
553	2965	2387
554	2970	2381
555	2975	2375
556	2984	2373
557	2988	2367
558	2998	2365
559	3005	2361
560	3013	2358
561	3017	2352
562	3024	2347
563	3030	2342
564	3033	2335
565	3037	2329
566	3044	2324
567	3048	2318
568	3052	2311
569	3058	2306
570	3062	2300
571	3065	2293
572	3069	2287
573	3074	2281
574	3078	2275
575	3082	2268
576	3085	2262
577	3090	2256
578	3094	2250
579	3098	2243
580	3104	2238
581	3109	2233
582	3112	2226
583	3116	2219
584	3122	2215
585	3126	2209
586	3132	2203
587	3141	2201
588	3146	2195
589	3150	2189
590	3158	2186
591	3162	2179
592	3167	2173
593	3175	2170
594	3180	2164
595	3185	2159
596	3191	2154
597	3196	2148
598	3203	2144
599	3208	2139
600	3212	2132
601	3220	2129
602	3224	2122
603	3227	2116
604	3235	2112
605	3239	2106
606	3244	2100
607	3250	2095
608	3256	2090
609	3260	2084
610	3265	2079
611	3271	2073
612	3274	2067
613	3280	2062
614	3285	2056
615	3288	2050
616	3292	2043
617	3298	2039
618	3302	2032
619	3306	2026
620	3313	2022
621	3317	2016
622	3321	2009
623	3326	2004
624	3331	1998
625	3335	1992
626	3338	1986
627	3345	1981
628	3349	1975
629	3353	1969
630	3357	1963
631	3362	1958
632	3366	1951
633	3370	1945
634	3375	1940
635	3379	1934
636	3383	1927
637	3386	1921
638	3394	1917
639	3400	1912
640	3403	1906
641	3409	1901
642	3413	1895
643	3417	1889
644	3423	1884
645	3428	1878
646	3431	1872
647	3435	1866
648	3441	1861
649	3445	1855
650	3449	1849
651	3454	1843
652	3459	1838
653	3462	1832
654	3466	1825
655	3471	1820
656	3475	1814
657	3478	1808
658	3482	1802
659	3489	1797
660	3493	1791
661	3496	1785
662	3500	1779
663	3505	1774
664	3509	1768
665	3513	1762
666	3518	1756
667	3522	1750
668	3528	1745
669	3532	1739
670	3540	1735
671	3544	1729
672	3553	1726
673	3559	1721
674	3562	1715
675	3568	1710
676	3574	1705
677	3577	1699
678	3583	1694
679	3587	1688
680	3591	1682
681	3594	1675
682	3600	1671
683	3605	1665
684	3608	1659
685	3612	1653
686	3616	1647
687	3620	1641
688	3623	1635
689	3630	1631
690	3634	1625
691	3638	1619
692	3641	1613
693	3647	1608
694	3651	1602
695	3654	1596
696	3657	1590
697	3663	1585
698	3667	1579
699	3670	1573
700	3673	1567
701	3679	1562
702	3683	1556
703	3686	1550
704	3690	1544
705	3695	1539
706	3699	1533
707	3703	1527
708	3706	1521
709	3712	1516
710	3715	1510
711	3719	1504
712	3722	1498
713	3728	1493
714	3732	1487
715	3735	1481
716	3739	1475
717	3744	1470
718	3749	1465
719	3752	1459
720	3758	1454
721	3762	1448
722	3765	1442
723	3769	1436
724	3774	1431
725	3778	1425
726	3781	1420
727	3785	1414
728	3791	1409
729	3794	1403
730	3797	1397
731	3801	1391
732	3807	1387
733	3811	1381
734	3815	1375
735	3819	1370
736	3823	1364
737	3827	1358
738	3830	1352
739	3835	1347
740	3839	1342
741	3844	1336
742	3847	1330
743	3853	1326
744	3857	1320
745	3860	1314
746	3864	1308
747	3870	1303
748	3873	1298
749	3877	1292
750	3880	1286
751	3886	1281
752	3889	1275
753	3892	1270
754	3896	1264
755	3901	1259
756	3905	1253
757	3908	1247
758	3912	1242
759	3918	1237
760	3922	1231
761	3925	1226
762	3929	1220
763	3934	1215
764	3938	1209
765	3941	1204
766	3945	1198
767	3951	1193
768	3956	1188
769	3960	1182
770	3966	1178
771	3970	1172
772	3974	1167
773	3979	1162
774	3983	1156
775	3987	1150
776	3990	1145
777	3995	1140
778	3999	1134
779	4002	1128
780	4005	1123
781	4009	1117
782	4014	1112
783	4018	1107
784	4022	1101
785	4026	1096
786	4030	1090
787	4034	1085
788	4038	1079
789	4042	1074
790	4048	1069
791	4053	1064
792	4057	1059
793	4064	1054
794	4068	1048
795	4071	1043
796	4077	1038
797	4081	1033
798	4084	1027
799	4088	1022
800	4095	1017
801	4099	1012
802	4103	1006
803	4110	1001
804	4113	996
805	4117	991
806	4121	985
807	4128	980
808	4131	975
809	4135	969
810	4143	965
811	4146	960
812	4150	954
813	4154	949
814	4161	944
815	4165	939
816	4170	934
817	4175	929
818	4179	923
819	4182	918
820	4190	913
821	4194	908
822	4197	902
823	4202	897
824	4207	892
825	4215	887
826	4221	883
827	4224	877
828	4228	872
829	4231	866
830	4238	862
831	4242	856
832	4245	851
833	4250	846
834	4256	841
835	4261	835
836	4265	830
837	4271	825
838	4275	820
839	4278	815
840	4285	810
841	4289	804
842	4293	799
843	4302	795
844	4306	789
845	4310	784
846	4317	779
847	4321	774
848	4324	769
849	4330	764
850	4336	759
851	4339	753
852	4343	748
853	4351	743
854	4354	738
855	4362	733
856	4367	728
857	4372	723
858	4380	719
859	4384	713
860	4388	708
861	4397	703
862	4401	698
863	4405	693
864	4412	688
865	4415	683
866	4419	678
867	4425	672
868	4430	667
869	4434	662
870	4438	657
871	4445	652
872	4449	647
873	4453	642
874	4460	637
875	4465	632
876	4469	626
877	4476	622
878	4480	616
879	4484	611
880	4492	606
881	4496	601
882	4500	596
883	4506	591
884	4510	586
885	4514	580
886	4517	575
887	4525	570
888	4528	565
889	4532	560
890	4540	555
891	4544	550
892	4548	544
893	4555	540
894	4559	534
895	4563	529
896	4570	524
897	4575	519
898	4579	514
899	4584	509
900	4590	504
901	4594	499
902	4600	494
903	4605	489
904	4609	483
905	4613	478
906	4620	473
907	4624	468
908	4628	463
909	4636	458
910	4640	453
911	4644	448
912	4651	443
913	4654	437
914	4658	432
915	4664	427
916	4669	422
917	4673	417
918	4677	412
919	4684	407
920	4688	402
921	4692	396
922	4699	392
923	4703	386
924	4707	381
925	4713	376
926	4717	371
927	4720	366
928	4724	361
929	4731	356
930	4735	350
931	4739	345
932	4746	340
933	4748	335
934	4752	330
935	4756	325
936	4764	320
937	4768	315
938	4772	310
939	4780	305
940	4784	299
941	4787	294
942	4796	289
943	4800	284
944	4803	279
945	4811	274
946	4815	269
947	4819	264
948	4827	259
949	4831	254
950	4835	249
951	4842	244
952	4845	238
953	4849	233
954	4853	228
955	4859	223
956	4862	218
957	4867	213
958	4872	208
959	4877	203
960	4881	198
961	4885	192
962	4891	187
963	4895	182
964	4899	177
965	4905	172
966	4909	167
967	4913	162
968	4917	157
969	4923	152
970	4927	147
971	4932	142
972	4937	137
973	4941	131
974	4946	126
975	4952	121
976	4956	116
977	4959	111
978	4963	106
979	4969	101
980	4972	96
981	4976	91
982	4980	86
983	4987	81
984	4991	76
985	4995	70
986	5001	65
987	5005	60
988	5008	55
989	5012	50
990	5018	45
991	5022	40
992	5026	35
993	5030	30
994	5034	25
995	5038	20
996	5041	15
997	5046	10
998	5049	5
999	5053	0
