iter	Logloss
0	0.6861692156
1	0.677364012
2	0.6691704056
3	0.6620815563
4	0.654547607
5	0.6469626913
6	0.6394577545
7	0.6330004841
8	0.6263441229
9	0.6199823496
10	0.612603739
11	0.6054393742
12	0.5989747339
13	0.5925356288
14	0.5866212391
15	0.5812994509
16	0.5748414539
17	0.5689243654
18	0.5620803314
19	0.556974398
20	0.5519159019
21	0.5471217357
22	0.5418476961
23	0.5368435399
24	0.5320909461
25	0.5266092521
26	0.5218064704
27	0.5160192892
28	0.5107819434
29	0.5060997788
30	0.501693518
31	0.4977221846
32	0.4932756489
33	0.489059033
34	0.484198953
35	0.4797949759
36	0.4757101876
37	0.4723520084
38	0.469420193
39	0.4660317038
40	0.4631665288
41	0.4603522683
42	0.4575017812
43	0.4547832774
44	0.4516956563
45	0.448078441
46	0.4446727208
47	0.4410959361
48	0.4382849453
49	0.4356481851
50	0.4327525184
51	0.4292351859
52	0.426574707
53	0.4243903128
54	0.4224241867
55	0.4192955121
56	0.416877539
57	0.4141496931
58	0.4117506897
59	0.4098835121
60	0.4074421059
61	0.4053843492
62	0.4029915219
63	0.4002138514
64	0.3985144687
65	0.3963468902
66	0.3946440041
67	0.3924298708
68	0.3904920825
69	0.3886457171
70	0.3866720913
71	0.3851339639
72	0.3836502802
73	0.3820882006
74	0.3805797084
75	0.3786208484
76	0.3765587839
77	0.3746633465
78	0.3729957269
79	0.3712290809
80	0.3693863226
81	0.3679045593
82	0.3660673284
83	0.3647884447
84	0.3632680672
85	0.3617291353
86	0.3602697152
87	0.3588694618
88	0.3576524696
89	0.3561798926
90	0.3549477194
91	0.3538204375
92	0.3526156159
93	0.3514215898
94	0.3499421619
95	0.3485714659
96	0.3473167679
97	0.3462238182
98	0.3448934231
99	0.3442170798
100	0.3429457995
101	0.3418474781
102	0.3407384911
103	0.339874553
104	0.3388949024
105	0.3374211318
106	0.335675272
107	0.3347177311
108	0.3337484347
109	0.3328948767
110	0.3319399827
111	0.3311274003
112	0.3301602318
113	0.3291578487
114	0.3283073789
115	0.3275053582
116	0.3262484284
117	0.3253765755
118	0.3244196574
119	0.3233627527
120	0.3226305903
121	0.3219577504
122	0.3210014291
123	0.3200250483
124	0.3190708809
125	0.3179834067
126	0.3171321843
127	0.3161830513
128	0.315399663
129	0.3146758307
130	0.3140165368
131	0.3135065092
132	0.3128149072
133	0.3119285999
134	0.3111871213
135	0.3102257398
136	0.3094916311
137	0.308725915
138	0.3077416971
139	0.3070854654
140	0.3062952262
141	0.3051446928
142	0.3043870991
143	0.303638614
144	0.3028912187
145	0.3020007854
146	0.3014564514
147	0.3007646158
148	0.2999674479
149	0.2991150837
150	0.2985417373
151	0.2978975205
152	0.2972585717
153	0.2965401371
154	0.2957656497
155	0.2952613052
156	0.2944318291
157	0.2937095019
158	0.2930936229
159	0.2923848159
160	0.291505074
161	0.2906714718
162	0.2900504287
163	0.2893866455
164	0.2886790061
165	0.2881279251
166	0.2873515434
167	0.2867528954
168	0.2861348107
169	0.2856297915
170	0.2851743114
171	0.2844365438
172	0.2836902385
173	0.2831223676
174	0.2825560278
175	0.2818247737
176	0.2812631049
177	0.2806703996
178	0.2802190716
179	0.2796217211
180	0.2788922057
181	0.2784471836
182	0.2779244663
183	0.2774290487
184	0.2768827685
185	0.2762087867
186	0.2755423306
187	0.2749303701
188	0.2747053808
189	0.2742752542
190	0.2736811216
191	0.2730272773
